Date,Open,High,Low,Close,Adj Close,Volume
2023-03-06,2400.000000,2424.600098,2400.000000,2408.699951,2408.699951,4694338
2023-03-08,2408.699951,2419.000000,2385.000000,2417.350098,2417.350098,7283694
2023-03-09,2416.000000,2416.899902,2355.100098,2359.250000,2359.250000,7492509
2023-03-10,2341.500000,2344.000000,2315.050049,2322.699951,2322.699951,6153681
2023-03-13,2329.000000,2344.000000,2275.000000,2284.500000,2284.500000,5894088
2023-03-14,2280.000000,2304.949951,2269.050049,2275.949951,2275.949951,7396699
2023-03-15,2284.100098,2298.300049,2227.399902,2237.050049,2237.050049,10027725
2023-03-16,2243.000000,2254.000000,2202.199951,2225.899902,2225.899902,8474595
2023-03-17,2244.750000,2251.949951,2212.699951,2223.100098,2223.100098,15697554
2023-03-20,2215.000000,2220.000000,2180.000000,2201.250000,2201.250000,9008668
